"Series";"Time";"Value"
"wordpress";"2018-12-17T06:56:00+08:00";354,742,272
"wordpress";"2018-12-17T07:04:00+08:00";354,742,272
"wordpress";"2018-12-17T07:12:00+08:00";1,355,919,360
"wordpress";"2018-12-17T07:20:00+08:00";358,805,504
"wordpress";"2018-12-17T07:28:00+08:00";358,805,504
"wordpress";"2018-12-17T07:36:00+08:00";2,322,800,640
"wordpress";"2018-12-17T07:44:00+08:00";355,782,656
"wordpress";"2018-12-17T07:52:00+08:00";355,782,656
"wordpress";"2018-12-17T08:00:00+08:00";2,322,706,432
"wordpress";"2018-12-17T08:08:00+08:00";358,719,488
"wordpress";"2018-12-17T08:16:00+08:00";358,719,488
"wordpress";"2018-12-17T08:24:00+08:00";2,321,195,008
"wordpress";"2018-12-17T08:32:00+08:00";361,132,032
"wordpress";"2018-12-17T08:40:00+08:00";361,132,032
"wordpress";"2018-12-17T08:48:00+08:00";2,276,286,464
"wordpress";"2018-12-17T08:56:00+08:00";353,763,328
"wordpress";"2018-12-17T09:04:00+08:00";353,763,328
"wordpress";"2018-12-17T09:12:00+08:00";1,855,885,312
"wordpress";"2018-12-17T09:20:00+08:00";353,976,320
"wordpress";"2018-12-17T09:28:00+08:00";353,976,320
"wordpress";"2018-12-17T09:36:00+08:00";515,223,552
"wordpress";"2018-12-17T09:44:00+08:00";353,169,408
"wordpress";"2018-12-17T09:52:00+08:00";351,576,064
"wordpress";"2018-12-17T10:00:00+08:00";351,576,064
"wordpress";"2018-12-17T10:08:00+08:00";706,916,352
"wordpress";"2018-12-17T10:16:00+08:00";362,000,384
"wordpress";"2018-12-17T10:24:00+08:00";362,000,384
"wordpress";"2018-12-17T10:32:00+08:00";1,558,224,896
"wordpress";"2018-12-17T10:40:00+08:00";361,115,648
"wordpress";"2018-12-17T10:48:00+08:00";361,115,648
"wordpress";"2018-12-17T10:56:00+08:00";2,358,308,864
"wordpress";"2018-12-17T11:04:00+08:00";359,350,272
"wordpress";"2018-12-17T11:12:00+08:00";359,350,272
"wordpress";"2018-12-17T11:20:00+08:00";2,361,929,728
"wordpress";"2018-12-17T11:28:00+08:00";359,108,608
"wordpress";"2018-12-17T11:36:00+08:00";359,108,608
"wordpress";"2018-12-17T11:44:00+08:00";2,348,257,280
"wordpress";"2018-12-17T11:52:00+08:00";349,990,912
"wordpress";"2018-12-17T12:00:00+08:00";349,990,912
"wordpress";"2018-12-17T12:08:00+08:00";2,237,100,032
"wordpress";"2018-12-17T12:16:00+08:00";365,252,608
"wordpress";"2018-12-17T12:24:00+08:00";365,252,608
"wordpress";"2018-12-17T12:32:00+08:00";1,783,644,160
"wordpress";"2018-12-17T12:40:00+08:00";358,383,616
"wordpress";"2018-12-17T12:48:00+08:00";358,383,616
"wordpress";"2018-12-17T12:56:00+08:00";723,914,752
"wordpress";"2018-12-17T13:04:00+08:00";360,853,504
"wordpress";"2018-12-17T13:12:00+08:00";359,256,064
"wordpress";"2018-12-17T13:20:00+08:00";359,256,064
"wordpress";"2018-12-17T13:28:00+08:00";642,121,728
"wordpress";"2018-12-17T13:36:00+08:00";359,337,984
"wordpress";"2018-12-17T13:44:00+08:00";359,337,984
"wordpress";"2018-12-17T13:52:00+08:00";1,340,252,160
"wordpress";"2018-12-17T14:00:00+08:00";361,771,008
"wordpress";"2018-12-17T14:08:00+08:00";361,771,008
"wordpress";"2018-12-17T14:16:00+08:00";2,376,278,016
